id,description,created_at,Master_type_id
0,Aplicacoes,2025-05-16 14:20:06.55165+00,
1,Computador,2025-05-16 14:20:40.9652+00,
2,Dominio,2025-05-16 14:20:54.910085+00,
3,E-mail,2025-05-16 14:21:15.356895+00,
4,Equipamentos,2025-05-16 14:22:03.564056+00,
5,Rede,2025-05-16 14:22:34.82792+00,
6,Segurança,2025-05-16 14:23:35.752718+00,
7,Servidor,2025-05-16 14:23:50.865833+00,
8,Telefones,2025-05-16 14:24:08.579612+00,
9,Aplicacoes::ACCP_e_ACPE,2025-05-16 14:31:40.85765+00,0
10,Aplicacoes::ACINGOV_BIZGOV,2025-05-16 14:35:47.001996+00,0
11,Aplicacoes::AIM - Alienacao de Imoveis Municipais?,2025-05-19 10:22:47.001996+00,0
12,Aplicacoes::Ascensores?,2025-05-19 10:22:47.001996+00,0
13,Aplicacoes::CCX?,2025-05-19 10:22:47.001996+00,0
14,Aplicacoes::CPC/Giaf?,2025-05-19 10:22:47.001996+00,0
15,Aplicacoes::CRM?,2025-05-19 10:22:47.001996+00,0
16,Aplicacoes::CUCM?,2025-05-19 10:22:47.001996+00,0
17,Aplicacoes::Edoc - UrbanismoDigital?,2025-05-19 10:22:47.001996+00,0
18,Aplicacoes::Encargos Futuros?,2025-05-19 10:22:47.001996+00,0
19,Aplicacoes::Faxserver?,2025-05-19 10:22:47.001996+00,0
20,Aplicacoes::Feriados?,2025-05-19 10:22:47.001996+00,0
21,Aplicacoes::GIF?,2025-05-19 10:22:47.001996+00,0
22,Aplicacoes::GOPI?,2025-05-19 10:22:47.001996+00,0
23,Aplicacoes::GescorV2?,2025-05-19 10:22:47.001996+00,0
24,Aplicacoes::GescorV3?,2025-05-19 10:22:47.001996+00,0
25,Aplicacoes::GescorV4?,2025-05-19 10:22:47.001996+00,0
26,Aplicacoes::Geslis?,2025-05-19 10:22:47.001996+00,0
27,Aplicacoes::GestAUGIs?,2025-05-19 10:22:47.001996+00,0
28,Aplicacoes::GestOcorre?,2025-05-19 10:22:47.001996+00,0
29,Aplicacoes::GestaodaFormacao,2025-05-19 10:22:47.001996+00,0
30,Aplicacoes::Intranet?,2025-05-19 10:22:47.001996+00,0
31,Aplicacoes::LXI?,2025-05-19 10:22:47.001996+00,0
32,Aplicacoes::Loja Lisboa?,2025-05-19 10:22:47.001996+00,0
